NDI5,DFI,TCARI,GRCI,SRI,RVI2,CRC,RVI3,MS,MM,MAT,CBW,NDF,ADF,ADL,SMO,SMS
-0.14358666853486,14.4669850409869,0.204569500952665,0.207540542689009,1.58204935607097,0.639634962679909,0.520506253386173,1.51364791094077,91.44,8.38,4.77,48.82,71.5,54.78,15.98,25.1,26.36
-0.166864934580404,10.8088832869926,0.164586303530173,0.186046882041726,1.38217308425219,0.705924420364184,0.524395047963656,1.5459079503384,91.65,7.2,3,49.6,76.5,58.41,16.82,18.93,20.04
-0.0634737615238246,19.3147256308167,0.137189905273548,0.21823809258776,1.35530041393941,0.645927890033802,0.477504351511043,1.67001033764011,92.45,9.34,3.37,49.26,79.76,52.02,9.21,23.82,24
-0.149386344851499,17.1297268063817,0.15923057763232,0.180206110749964,1.43392074099278,0.737305991945922,0.514574496782999,1.53317703232599,92.71,9.24,2.65,50.29,81.52,53.99,8.8,23.23,23.76
-0.131366777252176,12.6548632279119,0.161606435240312,0.202621790681023,1.39256031667392,0.68211773114787,0.452205893868729,1.50876093302939,92.09,10.57,4.18,46.22,74.95,49.95,10.27,27.29,27.97
-0.17858346380723,10.30986637275,0.135274082657832,0.203585370343986,1.50357797917813,0.709939498293898,0.51073197658718,1.42668474294087,92.07,7.71,3.7,50.11,80.05,54.83,11.92,21.44,20.66
-0.129909681266927,16.4372150956831,0.119560561352999,0.210425789575648,1.59786104762217,0.667025076568003,0.477573368414006,1.45490761262703,91.87,10.48,5.33,45.44,70.25,49.12,10.46,29.99,30.56
-0.186036315172452,11.2192264711096,0.128462773249404,0.250481228321437,1.47269493297475,0.637681703210958,0.513180377535621,1.50963997844773,92.33,9.48,4.01,47.39,76.32,49.83,9.59,26.82,27.17
-0.156727382371125,10.0623636436782,0.144997856312156,0.176291360884821,1.66802727491129,0.694829028196985,0.502974945732976,1.43845574583083,92.48,7.28,2.57,50.22,82.43,55.72,11.07,21.43,19.72
-0.120162681146063,19.783731357676,0.205525250014769,0.214352406528073,1.60532657458116,0.663584086786447,0.450168667372687,1.5605060331395,91.67,10.31,4.75,47.05,73.5,49.23,10.03,28.03,29.12
-0.133740971461932,19.5605341429069,0.196769457972894,0.203617049212247,1.50395898012439,0.626487892834821,0.53609314755154,1.52531453400198,91.38,8.31,3.87,49.79,71.6,56.23,17.09,23.53,24.72
-0.167742100662117,14.0292728079863,0.172325189920448,0.185303775720145,1.39639701284152,0.675332313390432,0.489729432967433,1.45559786722032,91.14,8.89,4.66,49.83,72.21,55.83,16.69,24.07,25.15
-0.174818516425817,10.6819118412289,0.119616073473525,0.150923089308242,1.43572876583055,0.741162341170578,0.467283734174311,1.35345995676505,91.71,6.8,2.41,51.57,78.07,59.59,16.69,17.39,17.54
-0.103029414945865,18.8117120011216,0.169452829319063,0.185301715755134,1.42380559352178,0.674303282659754,0.44438210866267,1.45604887125881,92.49,8.63,3.25,50.4,82.36,53.39,9.41,23.12,22.91
-0.0966685324317346,13.1889613670373,0.186019705350235,0.143063680770243,1.60560948225332,0.791934580168343,0.427285134156263,1.33504866573175,92.14,7.77,2.77,51.03,80.32,57.34,13.06,19.13,20.23
-0.144780362813234,13.7175300500503,0.133547359023345,0.181883832678843,1.30961508765297,0.703384963132446,0.427292027025855,1.44386706300502,92.01,10.03,3.8,46.73,75.78,51.01,10.56,26.88,27
-0.1723665782915,11.0332258654693,0.119631083252893,0.167722037564127,1.35747128116425,0.737799569659928,0.451645286110276,1.40338715457187,92.26,6.6,3.29,50.17,80.46,55.23,12.5,21.61,21.05
-0.154783418355659,16.0562309590283,0.12355195665677,0.172606440306595,1.30757762611991,0.690199318197608,0.44385934542697,1.41698655428001,91.85,10.4,5.4,46,71.85,50.26,10.9,29.1,30.36
-0.204841629571219,10.3443990955344,0.113036317409548,0.201910647653964,1.27638242125436,0.677965805401952,0.480704183821818,1.50640842537185,92.3,9.32,4.28,48.07,77.88,51.16,9.88,26.61,26.65
-0.144060069654406,12.4385792240042,0.144005596789562,0.17552876486624,1.42769851004152,0.716268121985759,0.456580920349803,1.42476010755153,92.53,6.34,2.89,53.42,86.88,58.2,11.11,18.4,16.06
-0.137452678467684,19.2818714297101,0.145028650565375,0.199569671791403,1.31433154033883,0.680904750541245,0.435777596093633,1.49863865296059,91.52,10.89,4.78,46.17,73.86,48.67,9.67,28,28.6
-0.13135567379439,17.406166736825,0.188964382422525,0.181378516176421,1.44833174713569,0.673339160861183,0.475064711170132,1.4423451350374,91.3,7.91,4.26,52.55,76.23,58.08,16.86,19.92,21.79
-0.185036809365144,10.0943772415545,0.151870612716325,0.177624490326444,1.33883913951444,0.687014139129481,0.481674510275112,1.43216257872019,91.05,7.53,4.69,52.21,73.86,57.15,17.61,23.27,23.19
-0.16942277766392,15.0680357915725,0.099162511150263,0.145781123328983,1.29979899006875,0.777847793868249,0.402085260944931,1.34082191437375,91.77,5.92,3.12,54.41,79.98,60.44,16.85,15.72,17.49
-0.121591550180262,19.8435823566807,0.132297849195948,0.177474830407715,1.32124580307771,0.704815482522111,0.412604873975721,1.43211062425985,92.48,8.92,3.13,50.22,83.13,54.02,9.63,22.39,22.76
-0.126011819467236,10.4374279722823,0.162578304044877,0.155759160575282,1.55882247444797,0.803625140435782,0.433131520375455,1.36916982505824,92.41,8.95,3.17,51.84,81.63,56.65,11.42,20.87,22.23
-0.166253836792671,12.6547861230274,0.0991502867803977,0.173064078703768,1.24512382310884,0.708236219297149,0.426046422098801,1.41841673080064,92.19,9.66,3.62,48.22,80.12,52.11,9.95,23.98,25.02
-0.169440882828899,10.2201440934426,0.125459868295729,0.155033512248952,1.36525588928689,0.742896020665553,0.44579396212842,1.36672695393265,91.9,6.16,3.63,54.75,84.64,59.77,14.12,16.06,16.14
-0.168462143586579,13.3126479887586,0.104017547545239,0.156968188104346,1.26857700075551,0.711177661601933,0.430157970275914,1.37251891078346,91.85,9.54,5.47,50.26,77.72,53.5,11.65,23.59,24.66
-0.225329462021403,9.15486535276582,0.0961603790602701,0.229715246589503,1.25876111290466,0.645982736506277,0.509028037583027,1.59661492209451,93.65,6.28,4.75,47.86,80.3,52.29,10.83,20.29,20.42
-0.130331718934706,9.90771627484066,0.144038838556746,0.146849516397227,1.37597550934614,0.743906656993175,0.409422942675984,1.34422066891007,92.52,6.54,3.1,54.52,88.17,58.9,11.29,17.63,16.24
-0.14622947163658,15.0178056089481,0.126214557905513,0.178094252950051,1.27249589720807,0.694098407448644,0.422614834947754,1.4333405418839,91.51,10.38,4.77,48.04,76.27,50.38,9.76,26.27,28.02
-0.164553966927881,14.5615794106403,0.168433779475484,0.19115747066715,1.39358441599739,0.666492910820921,0.489776552978538,1.47363347867818,91.02,6.91,5.01,54.78,77.63,60.24,18.26,18.57,19.3
